id	d0	d1	d2	v0	v1	v2	s0	s1	s2
BNAE186663	0	0	0	0	0	0	0	0	0
BNJT312550	3	2	2	2	2	2	2	2	2
BNUC107740	2	0	1	4	3	1	1	3	1
BOOZ657273	4	4	4	4	4	4	4	4	4
BOST951608	4	3	3	4	4	4	2	4	4
BPFL593434	2	0	0	2	3	2	2	1	1
BPJV269637	3	3	2	3	3	3	3	4	3
BPKI206217	3	2	1	0	0	3	3	3	0
BPLK193915	4	2	3	3	2	1	3	3	3
BPQX596610	2	2	1	4	3	3	3	4	5
BPSC284475	2	4	2	4	3	4	3	3	2
BPYX583700	1	1	0	3	3	1	1	4	3
BQCF210879	4	3	3	3	3	3	4	4	4
BQJZ463474	3	3	3	4	4	3	4	4	4
BQKB444447	2	1	2	4	2	2	1	3	2
BQKM762839	3	3	3	2	2	3	3	2	2
BQLQ141979	3	2	2	4	4	4	3	3	4
BQWW321097	4	5	4	5	4	4	4	5	5
BRGQ463843	3	3	4	4	4	4	5	5	4
BRHD555170	4	4	4	5	4	4	4	4	4
BRHV640494	3	2	1	3	2	3	1	2	3
BRLR380184	4	2	4	3	1	1	3	4	1
BRNA801848	4	3	4	4	3	3	4	4	4
BROG749580	1	0	0	2	2	1	1	1	1
BRTA572614	1	2	1	2	1	0	1	2	3
BRUP611703	4	3	3	3	2	2	3	3	3
BRYM903703	2	0	0	1	1	1	1	1	1
BRYZ556220	4	4	3	5	3	3	3	4	1
BSGX200284	4	2	3	4	3	2	3	3	4
BTIH928714	4	3	3	1	1	3	4	3	2
BTVJ710920	3	1	0	2	2	1	0	0	2
BTVO242950	2	1	1	1	0	0	1	1	1
BTWH951368	4	2	1	3	2	2	5	5	5
BUCB382691	3	3	2	3	2	2	1	3	2
BUFQ519166	4	4	3	1	1	3	3	2	3
BUPJ498008	3	3	3	4	2	3	4	4	5
BUZJ404149	2	4	3	4	4	3	2	1	2
BUZQ662530	3	3	3	3	3	3	3	3	3
BVBP908540	3	3	2	3	3	3	1	3	3
BVMF290196	3	3	4	4	4	4	3	4	3
BVMX343001	3	3	2	2	2	2	3	3	3
BVNF543298	0	1	0	2	2	2	2	2	2
BVOL834705	1	0	1	3	1	1	0	2	0
BVXW480383	3	1	3	3	3	3	3	2	3
BVYN209294	3	3	2	4	3	3	4	4	4
BVZH372608	3	1	3	1	1	1	0	0	3
BWGU174320	0	2	0	3	3	1	3	3	3
BWHW708702	3	1	0	4	3	3	2	3	1
BWMI911453	5	3	4	2	3	4	4	4	3
BXCO500950	3	3	3	4	4	3	4	3	3
BXDW843469	3	3	3	3	3	3	3	3	3
BXLB340112	1	2	3	3	3	3	4	4	3
BXMW498289	3	1	1	3	1	1	3	3	3
BXRE737985	3	1	3	4	4	4	3	3	4
BXTI114927	1	1	0	0	0	3	2	0	0
BXUK159695	4	4	3	3	3	3	3	3	4
BYNJ983584	4	3	0	3	4	4	3	4	3
BYWA407364	4	3	4	2	3	2	2	2	3
BZBP416911	1	2	0	0	1	1	1	0	0
BZEM645670	4	5	5	5	5	3	3	4	4
BZKJ751793	1	0	1	3	2	1	1	3	4
BZLA276894	0	4	3	2	3	4	1	2	2
BZSU149676	3	2	1	4	3	3	4	4	3
BZXE565827	4	3	4	4	4	4	2	3	3
CADG183688	2	1	1	0	0	0	0	0	0
CAGC502569	4	3	3	0	0	0	1	2	2
CAIK208411	3	3	3	3	2	3	3	4	4
CAIQ847204	1	1	1	3	3	4	3	4	3
CAKZ125286	3	2	2	2	2	2	3	2	2
CAPC504624	3	0	0	3	1	2	2	3	3
CAYI426495	4	1	1	3	1	3	1	1	4
CBAB673449	1	3	0	3	2	2	3	1	0
CBFW651551	3	1	0	3	1	2	1	3	3
CBGB126459	3	3	0	4	2	2	3	4	3
CBIO335104	4	2	3	4	3	4	4	4	5
